"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Hammer Curl (Dumbbell)",,"",0,"normal",20,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Hammer Curl (Dumbbell)",,"",1,"failure",22,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Hammer Curl (Dumbbell)",,"",2,"failure",22,7,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Lat Pulldown (Cable)",,"",0,"normal",50,6,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Lat Pulldown (Cable)",,"",1,"failure",80,6,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Lat Pulldown (Cable)",,"",2,"failure",85,3,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Back Extension (Weighted Hyperextension)",,"Not hugging plates",0,"normal",20,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Back Extension (Weighted Hyperextension)",,"Not hugging plates",1,"normal",40,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Back Extension (Weighted Hyperextension)",,"Not hugging plates",2,"failure",50,6,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Bicep Curl (Dumbbell)",,"Forbidden progress made 👺",0,"normal",14,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Bicep Curl (Dumbbell)",,"Forbidden progress made 👺",1,"failure",18,8,,,
"Pull","Sep 26, 2025, 12:51 PM","Sep 26, 2025, 1:59 PM","Gone up bruh","Bicep Curl (Dumbbell)",,"Forbidden progress made 👺",2,"failure",18,7,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Bench Press (Barbell)",,"Omg i went up a rep 👅",0,"normal",20,8,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Bench Press (Barbell)",,"Omg i went up a rep 👅",1,"normal",60,6,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Bench Press (Barbell)",,"Omg i went up a rep 👅",2,"failure",75,7,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Bench Press (Barbell)",,"Omg i went up a rep 👅",3,"failure",75,4,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Lateral Raise (Cable)",,"",0,"warmup",2.5,10,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Lateral Raise (Cable)",,"",1,"normal",5,10,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Lateral Raise (Cable)",,"",2,"failure",5,10,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Triceps Pushdown",,"",0,"normal",30,8,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Triceps Pushdown",,"",1,"failure",35,8,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Triceps Pushdown",,"",2,"failure",37.5,4,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Chest Fly (Machine)",,"Maxes at 50kg - is harder - 45kg ~=135kg",0,"normal",30,6,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Chest Fly (Machine)",,"Maxes at 50kg - is harder - 45kg ~=135kg",1,"failure",40,6,,,
"Push","Sep 25, 2025, 4:12 PM","Sep 25, 2025, 5:09 PM","","Chest Fly (Machine)",,"Maxes at 50kg - is harder - 45kg ~=135kg",2,"failure",45,3,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Press (Machine)",,"“Angled leg press”",0,"normal",80,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Press (Machine)",,"“Angled leg press”",1,"normal",160,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Press (Machine)",,"“Angled leg press”",2,"normal",200,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Romanian Deadlift (Barbell)",,"No 2.5kg 🥀 + seated leg curl sucks",0,"normal",60,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Romanian Deadlift (Barbell)",,"No 2.5kg 🥀 + seated leg curl sucks",1,"failure",110,6,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Romanian Deadlift (Barbell)",,"No 2.5kg 🥀 + seated leg curl sucks",2,"failure",120,4,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Calf Extension (Machine)",,"Plate loaded",0,"normal",20,15,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Calf Extension (Machine)",,"Plate loaded",1,"normal",40,15,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Calf Extension (Machine)",,"Plate loaded",2,"normal",80,12,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Hip Adduction (Machine)",,"Only goes up to like 50, but is hard",0,"normal",30,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Hip Adduction (Machine)",,"Only goes up to like 50, but is hard",1,"failure",45,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Hip Adduction (Machine)",,"Only goes up to like 50, but is hard",2,"failure",50,3,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Extension (Machine)",,"Techogym pilled",0,"normal",40,8,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Extension (Machine)",,"Techogym pilled",1,"normal",55,6,,,
"Lower","Sep 23, 2025, 12:26 PM","Sep 23, 2025, 1:51 PM","","Leg Extension (Machine)",,"Techogym pilled",2,"normal",62.5,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bench Press (Barbell)",,"",0,"normal",20,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bench Press (Barbell)",,"",1,"normal",60,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bench Press (Barbell)",,"",2,"failure",75,6,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bench Press (Barbell)",,"",3,"failure",75,4,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Chest Supported Row",,"I dont know base weight",0,"warmup",40,6,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Chest Supported Row",,"I dont know base weight",1,"normal",80,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Chest Supported Row",,"I dont know base weight",2,"failure",120,6,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Shoulder Press (Dumbbell)",,"Fall off",0,"normal",24,6,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Shoulder Press (Dumbbell)",,"Fall off",1,"failure",26,6,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Shoulder Press (Dumbbell)",,"Fall off",2,"failure",28,3,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Lateral Raise (Cable)",,"",0,"normal",3.75,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Lateral Raise (Cable)",,"",1,"normal",5,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Lateral Raise (Cable)",,"",2,"failure",5,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bicep Curl (Dumbbell)",,"",0,"normal",14,8,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bicep Curl (Dumbbell)",,"",1,"failure",18,7,,,
"Upper","Sep 21, 2025, 2:26 PM","Sep 21, 2025, 3:26 PM","","Bicep Curl (Dumbbell)",,"",2,"failure",18,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Standing Calf Raise (Machine)",,"",0,"normal",50,15,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Standing Calf Raise (Machine)",,"",1,"normal",60,12,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Standing Calf Raise (Machine)",,"",2,"normal",70,12,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Romanian Deadlift (Barbell)",,"",0,"normal",70,8,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Romanian Deadlift (Barbell)",,"",1,"normal",110,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Romanian Deadlift (Barbell)",,"",2,"failure",125,4,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Hip Adduction (Machine)",,"",0,"normal",36,10,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Hip Adduction (Machine)",,"",1,"normal",57,10,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Hip Adduction (Machine)",,"",2,"failure",75,8,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Leg Press (Machine)",,"",0,"normal",175,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Leg Press (Machine)",,"",1,"failure",275,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Leg Press (Machine)",,"",2,"failure",275,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Crunch (Machine)",,"",0,"warmup",29,8,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Crunch (Machine)",,"",1,"normal",43,6,,,
"Lower","Sep 13, 2025, 7:55 PM","Sep 13, 2025, 9:14 PM","","Crunch (Machine)",,"",2,"normal",54,4,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Lat Pulldown (Cable)",,"Long grip - but weird",0,"normal",73,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Lat Pulldown (Cable)",,"Long grip - but weird",1,"normal",86,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Lat Pulldown (Cable)",,"Long grip - but weird",2,"failure",93,4,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Hammer Curl (Dumbbell)",,"",0,"normal",20,8,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Hammer Curl (Dumbbell)",,"",1,"normal",24,8,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Hammer Curl (Dumbbell)",,"",2,"failure",24,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Bench Press (Barbell)",,"Filler",0,"normal",20,8,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Bench Press (Barbell)",,"Filler",1,"normal",60,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Seated Cable Row - V Grip (Cable)",,"Mid machine",0,"normal",73,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Seated Cable Row - V Grip (Cable)",,"Mid machine",1,"failure",86,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Seated Cable Row - V Grip (Cable)",,"Mid machine",2,"failure",79,4,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Bicep Curl (Dumbbell)",,"",0,"normal",16,6,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Bicep Curl (Dumbbell)",,"",1,"failure",20,4,,,
"Pull","Sep 5, 2025, 9:01 AM","Sep 5, 2025, 10:16 AM","","Bicep Curl (Dumbbell)",,"",2,"normal",18,6,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Incline Bench Press (Dumbbell)",,"Incline diff + smooth grip aint help",0,"normal",24,8,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Incline Bench Press (Dumbbell)",,"Incline diff + smooth grip aint help",1,"normal",34,6,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Incline Bench Press (Dumbbell)",,"Incline diff + smooth grip aint help",2,"normal",36,4,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Lateral Raise (Cable)",,"",0,"normal",4.5,8,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Lateral Raise (Cable)",,"",1,"normal",6.8,6,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Chest Fly (Machine)",,"Ts maxes at 134 + feels much easier than ea",0,"normal",100,8,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Chest Fly (Machine)",,"Ts maxes at 134 + feels much easier than ea",1,"normal",134,6,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Chest Fly (Machine)",,"Ts maxes at 134 + feels much easier than ea",2,"failure",134,5,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Triceps Pushdown",,"Bit harder",0,"normal",31.5,8,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Triceps Pushdown",,"Bit harder",1,"failure",36,6,,,
"Push","Sep 4, 2025, 8:24 PM","Sep 4, 2025, 9:08 PM","","Triceps Pushdown",,"Bit harder",2,"failure",38.3,4,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Standing Calf Raise (Machine)",,"Plate loaded - base w is 30kg - actually a squat machine lmao",0,"normal",30,20,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Standing Calf Raise (Machine)",,"Plate loaded - base w is 30kg - actually a squat machine lmao",1,"normal",50,15,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Standing Calf Raise (Machine)",,"Plate loaded - base w is 30kg - actually a squat machine lmao",2,"normal",60,15,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Leg Press (Machine)",,"Higher incline + 75kg bw- getting used to it tbh- imo pg lp > ea lp",0,"normal",75,6,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Leg Press (Machine)",,"Higher incline + 75kg bw- getting used to it tbh- imo pg lp > ea lp",1,"normal",175,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Leg Press (Machine)",,"Higher incline + 75kg bw- getting used to it tbh- imo pg lp > ea lp",2,"failure",275,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Crunch (Machine)",,"Odd machine",0,"warmup",29,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Crunch (Machine)",,"Odd machine",1,"normal",43,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Crunch (Machine)",,"Odd machine",2,"normal",54,4,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Romanian Deadlift (Barbell)",,"Same as always",0,"normal",70,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Romanian Deadlift (Barbell)",,"Same as always",1,"failure",110,6,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Romanian Deadlift (Barbell)",,"Same as always",2,"failure",125,4,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Hip Adduction (Machine)",,"Very difficult machine",0,"failure",36,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Hip Adduction (Machine)",,"Very difficult machine",1,"normal",55,8,,,
"Lower","Sep 2, 2025, 9:57 PM","Sep 2, 2025, 11:02 PM","Leg extension sucks (rip)","Hip Adduction (Machine)",,"Very difficult machine",2,"normal",70,6,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bench Press (Barbell)",,"Barbell wobbled like crazy",0,"normal",20,8,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bench Press (Barbell)",,"Barbell wobbled like crazy",1,"normal",60,8,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bench Press (Barbell)",,"Barbell wobbled like crazy",2,"failure",75,6,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Seated Cable Row - V Grip (Cable)",,"Machine sucks",0,"normal",59,8,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Seated Cable Row - V Grip (Cable)",,"Machine sucks",1,"normal",79,6,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",24,6,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Shoulder Press (Dumbbell)",,"",1,"failure",28,5,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Shoulder Press (Dumbbell)",,"",2,"failure",28,4,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Lateral Raise (Cable)",,"",0,"warmup",3.4,10,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Lateral Raise (Cable)",,"",1,"normal",5.7,8,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Lateral Raise (Cable)",,"",2,"failure",7.9,3,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bicep Curl (Dumbbell)",,"",0,"normal",16,6,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bicep Curl (Dumbbell)",,"",1,"failure",20,4,,,
"Upper","Sep 1, 2025, 1:40 PM","Sep 1, 2025, 3:17 PM","","Bicep Curl (Dumbbell)",,"",2,"failure",18,6,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Lat Pulldown - Close Grip (Cable)",,"Not mag grip",0,"normal",60,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Lat Pulldown - Close Grip (Cable)",,"Not mag grip",1,"normal",90,6,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Lat Pulldown - Close Grip (Cable)",,"Not mag grip",2,"failure",100,4,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",20,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Hammer Curl (Dumbbell)",,"",1,"normal",24,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Hammer Curl (Dumbbell)",,"",2,"failure",24,6,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Back Extension (Weighted Hyperextension)",,"",0,"normal",15,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Back Extension (Weighted Hyperextension)",,"",1,"normal",40,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Back Extension (Weighted Hyperextension)",,"",2,"failure",40,7,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",70,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Seated Cable Row - V Grip (Cable)",,"",1,"failure",90,6,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Single Arm Preacher Curl (Machine)",,"",0,"normal",30,8,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Single Arm Preacher Curl (Machine)",,"",1,"failure",40,6,,,
"Pull","Aug 29, 2025, 1:28 PM","Aug 29, 2025, 2:54 PM","","Single Arm Preacher Curl (Machine)",,"",2,"normal",42.5,3,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Incline Bench Press (Dumbbell)",,"",0,"normal",24,8,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Incline Bench Press (Dumbbell)",,"",1,"normal",34,6,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Incline Bench Press (Dumbbell)",,"",2,"normal",36,4,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Lateral Raise (Cable)",,"",0,"warmup",3.75,10,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Lateral Raise (Cable)",,"",1,"normal",5,10,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Lateral Raise (Cable)",,"",2,"normal",6.25,10,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Chest Fly (Machine)",,"Machine feels off",0,"normal",100,5,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Chest Fly (Machine)",,"Machine feels off",1,"normal",115,6,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Chest Fly (Machine)",,"Machine feels off",2,"failure",140,3,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Triceps Pushdown",,"",0,"normal",31.25,6,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Triceps Pushdown",,"",1,"failure",41.25,6,,,
"Push","Aug 28, 2025, 2:33 PM","Aug 28, 2025, 3:57 PM","","Triceps Pushdown",,"",2,"failure",43.75,5,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Leg Press (Machine)",,"ROM kinda mid, should prob go a bit down (~375)",0,"normal",197,8,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Leg Press (Machine)",,"ROM kinda mid, should prob go a bit down (~375)",1,"normal",297,8,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Leg Press (Machine)",,"ROM kinda mid, should prob go a bit down (~375)",2,"failure",397,3,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Seated Calf Raise",,"",0,"normal",93,15,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Seated Calf Raise",,"",1,"normal",123,12,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Seated Calf Raise",,"",2,"normal",133,10,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Romanian Deadlift (Barbell)",,"",0,"normal",70,8,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Romanian Deadlift (Barbell)",,"",1,"failure",120,6,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Romanian Deadlift (Barbell)",,"",2,"failure",125,4,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Crunch (Machine)",,"",0,"normal",80,8,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Crunch (Machine)",,"",1,"normal",90,8,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Crunch (Machine)",,"",2,"normal",100,5,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Hip Adduction (Machine)",,"",0,"failure",140,5,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Leg Extension (Machine)",,"",0,"normal",80,6,,,
"Lower","Aug 26, 2025, 9:05 AM","Aug 26, 2025, 10:56 AM","","Leg Extension (Machine)",,"",1,"failure",90,6,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Bench Press (Barbell)",,"Blame it on lost mass",0,"normal",20,8,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Bench Press (Barbell)",,"Blame it on lost mass",1,"normal",60,8,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Bench Press (Barbell)",,"Blame it on lost mass",2,"failure",80,3,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Chest Supported Row",,"",0,"normal",111,8,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Chest Supported Row",,"",1,"normal",161,6,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Chest Supported Row",,"",2,"failure",191,4,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Shoulder Press (Dumbbell)",,"",0,"normal",24,8,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Shoulder Press (Dumbbell)",,"",1,"failure",28,5,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Shoulder Press (Dumbbell)",,"",2,"failure",28,4,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Lateral Raise (Cable)",,"",0,"warmup",3.75,10,,,
"Upper","Aug 25, 2025, 9:03 AM","Aug 25, 2025, 10:49 AM","","Lateral Raise (Cable)",,"",1,"normal",5,10,,,
